"Title","Author","indivauthor","Publication","Type","Year"
"Debating analytics","Hascup, Jimmy","Y","USA TODAY","Research",2015
"How NHL teams are trying to better use and understand analytics","Fluto Shinzawa","Y","Boston Globe","Research",2016
"PLUSSES AND MINUSES OF HOCKEY STATISTICS","Molinari, Dave","Y","Pittsburgh Post - Gazette","Research",1999
"Preds GM MacFarland seeking to beef up data analytics team","Daugherty, Alex","Y","The Tennessean","Research",2026
"Numbers needn't add up ; Statistics for 'U' hockey player Natalie Darwitz speak for themselves. She wants to do better.","Dean, Spiros","Y","Star Tribune","Research",2005
"CHECK THIS OUT: HITS ARE AN NHL STATISTIC AGAIN","Derrick Goold","Y","St. Louis Post - Dispatch","Research",2003
"On N.H.L. Rosters, Age Is Just Another Statistic","Zinser, Lynn","Y","New York Times","Research",2009
"Arbitrator says NHL must resume keeping certain statistics","Allen, Kevin","Y","USA TODAY","Research",2003
"PETROVICKY'S STATISTICS LIE; HE'S A PLUS, TOO, ON WING","Anderson, Shelly","Y","Pittsburgh Post - Gazette","Research",2006
"CMU OFFERS DEEP DIVE INTO SPORTS ANALYTICS PROGRAM WILL EXAMINE HOW SUCH STATISTICS ARE USED IN VARIOUS SPORTS","Mackey, Jason","Y","Pittsburgh Post - Gazette","Research",2021
"OF CORSI... Fenwick and other analytics and historical stats being added to NHL.com for fans & stat geeks","Leonard, Pat","Y","New York Daily News","Research",2015
"checks and balances; Hits, a statistic derided as subjective and somewhat senseless by most of hockey's analysis community, represent a quantifiable on-ice engagement for Penguins winger Chris Kunitz. [Derived Headline]","West, Bill","Y","Tribune - Review / Pittsburgh Tribune - Review","Research",2016
"Lies, Damned Lies and Statistics","Strauss, Robert","Y","Los Angeles Times (pre-1997 Fulltext)","Research",1996
"Statistics don't tell the story of Thornton","Doyle, Bill","Y","Telegram & Gazette","Research",2000
"Meier defined by passion, not statistics","JASNER, ANDY","Y","The News Journal","Research",2008
"IceCats aren't much for statistics","Ballou, Bill","Y","Telegram & Gazette","Research",1994
"New coach must buy into analytics","Rossi, Rob","Y","Tribune - Review / Pittsburgh Tribune - Review","Research",2014
"Devils Go All In on Use of Analytics (Poker Expert Helps)","Pickens, Pat","Y","New York Times","Research",2015
"The Details Are (Finally) in the Devils --- Advanced Stats Begin to Infiltrate NHL Clubhouses","Lemire, Joe","Y","Wall Street Journal","Research",2014
"Freshman worries less, plays better // Gophers goalie Adam Hauser no longer spends time dwelling on his statistics. Instead he tries to stay focused on learning from the good and the bad.","Blount, Rachel","Y","Star Tribune","Research",1999
"LIGHTNING ROOKIE GRATTON TARGETED TAMPA BAY'S CHRIS GRATTON IS BEING TREATED RUDELY BY OPPONENTS, AND IT SHOWS IN HIS STATISTICS.","Mike Zizzo","Y","Orlando Sentinel","Research",1993
"Far From Days of Original Six, N.H.L. Adopts Complex Numbers","Klein, Jeff Z","Y","New York Times","Research",2014
"Fast-paced game slow to embrace world of analytics","Fluto Shinzawa","Y","Boston Globe","Research",2014
"For Lynes, Path From Md. To NHL Is a Numbers Game","Melanie Ho","Y","The Washington Post","Research",2006
"OBSCURE STATISTIC POINTS TO FERENCE'S TRUE VALUE","VONDERSMITH, JASON","Y","Columbian","Research",1998
"Analytics advancing in the NHL, and Caps' MacLellan is prepared","Prewitt, Alex","Y","The Washington Post","Research",2014
"Sports statistics go high tech; Oh, the old scorebook's still there. But it's got a lot of help.","NAVAROLI, STEVE","Y","York Daily Record","Research",2006
"NHL's 'Moneypuck' is beginning to stick","Greenberg, Neil","Y","The Washington Post","Research",2013
"A longtime imperfect statistic doesn’t put the Lightning in a good light after a month","ENCINA, EDUARDO A","Y","Tampa Bay Times","Research",2023
"One statistic shows Islanders weren't as bad as they appeared","Staple, Arthur","Y","Newsday","Research",2017
"Data will drive organizations into a new era","Fluto Shinzawa","Y","Boston Globe","Research",2014
"New Path to N.H.L.: Crunching Numbers, Not Foes","Pinchevsky, Tal","Y","New York Times","Research",2017
"Chip plugs Flyers into world of sports science","Isaac, Dave","Y","Courier Post","Research",2013
"A closer look at the statistic – goal differential – that truly shows the Bruins' dominance this season","Dupont, Kevin Paul","Y","Boston Globe (Online)","Research",2023
"Minnesota Wild, NHL gaining ground in world of analytics","Graff, Chad","Y","Saint Paul Pioneer Press","Research",2013
"Hextall brings analytics, patience","Isaac, Dave","Y","Courier Post","Research",2014
"SIGNIFICANT STATISTICS TELL TALE OF SEASON","Molinari, Dave","Y","Pittsburgh Post - Gazette","Research",2016
"HOSSA DEFENDS HIS PLAYOFF STATISTICS","Anderson, Shelly","Y","Pittsburgh Post - Gazette","Research",2008
"RUST'S GREAT SEASON GOES WELL BEYOND STATISTICS","Vensel, Matt","Y","Pittsburgh Post - Gazette","Research",2020
"No way these NHL early season statistics will last","Allen, Kevin","Y","USA Today (Online)","Research",2016
"G Smith focuses on squad's results, not statistics","Gintonio, Jim","Y","Arizona Republic","Research",2012
"PENGUINS STRETCH RUN START OF SOMETHING BIG EVERY STATISTIC PROVES GOALIE MARC-ANDRE FLEURY HAS BEEN SENSATIONAL THIS SEASON, BUT HE KNOWS THEY REPRESENT A SET OF BUILDING BLOCKS AND ALL JUDGMENTS WILL BE BASED ON HIS PLAYOFF PERFORMANCE","Molinari, Dave","Y","Pittsburgh Post - Gazette","Research",2014
"ANALYTICS EXPERT JOINS GROWING FRONT-OFFICE STAFF KARMANOS REJOINS NEW PEGUINS GM","Anderson, Shelly","Y","Pittsburgh Post - Gazette","Research",2014
"DESPITE UGLY STATISTICS, MURRAY SEES LIGHT","Mackey, Jason","Y","Pittsburgh Post - Gazette","Research",2018
"MORE TO ORPIK THAN JUST STATISTICS","Molinari, Dave","Y","Pittsburgh Post - Gazette","Research",2011
"Statistics reflect Flyers' success","Gormley, Chuck","Y","Courier Post","Research",2010
"Deceiving statistics are not translating into wins","Fialkov, Harvey","Y","South Florida Sun - Sentinel","Research",2013
"Early-season statistics aren't always telling","Allen, Kevin","Y","USA TODAY","Research",2016
"SOME NHL STATISTICS DUBIOUS AT BEST","Anderson, Shelly","Y","Pittsburgh Post - Gazette","Research",2014
"Blues refuse to be discouraged by statistics","Yang, Nicole","Y","Boston Globe","Research",2019
"Jonathan Quick’s value to L.A. Kings can’t be measured by statistics","Fowler, Clay","Y","Whittier Daily News","Research",2017
"Diving into five statistics that tell the story of the Bruins right now","Porter, Matt","Y","Boston Globe (Online)","Research",2020
"Home-ice disadvantage/ All that work to play more games at home appears to be a waste","Branch, John","Y","The Gazette","Research",2001
"Analytics to play large role for Panthers: But GM says numbers not only factor: NHL DRAFT: TV, NBCSN, 7 p.m.","Fialkov, Harvey","Y","South Florida Sun - Sentinel","Research",2016
"DUCKS 4, BOSTON 2; Perry shines in Ducks win; Veteran playmaker gets two assists, but value to team goes beyond statistics.","Coppinger, Mike","Y","Los Angeles Times","Research",2017
"OLDER, WISER, BETTER HIS STATISTICS MIGHT NOT BE IMPRESSIVE BUT ORPIK'S PLAY IS A BIG HIT","Anderson, Shelly","Y","Pittsburgh Post - Gazette","Research",2012
"PENGUINS SETTLE IN MIDDLE 10 STATISTICS FOR THE FIRST 10 GAMES","Vensel, Matt","Y","Pittsburgh Post - Gazette","Research",2021
"GMs can get an assist by employing analytics","Fluto Shinzawa","Y","Boston Globe","Research",2013
"In-game iPad app to help analytics","Greenfield, Jimmy","Y","Chicago Tribune","Research",2019
"The analytics on the rest of the NHL season say anything goes","Timmermann, Tom","Y","St. Louis Post - Dispatch","Research",2020
"Can season's worth of analytics aid team?","Thompson, Phil","Y","Chicago Tribune","Research",2023
"Intelligence will make the game much brighter","Fluto Shinzawa","Y","Boston Globe","Research",2014
"Numbers Indicate That Skill Usually Packs a Bigger Punch Than Fists","Klein, Jeff Z","Y","New York Times","Research",2012
"Offense is early surprise, but at defenses expense","Russo, Michael","Y","Star Tribune","Research",2015
"Bruins' Miller serves as test case for analytics","Fluto Shinzawa","Y","Boston Globe","Research",2015
"VOICE OF ANALYTICS GURU GROWING STRONGER WITH RECENT PROMOTION, VENTURA IS PREPARING 'FIRE HOSE' OF NEW DATA","Mike DeFabo","Y","Pittsburgh Post - Gazette","Research",2020
"Pens' hire driven by data","Mackey, Jason","Y","Tribune - Review / Pittsburgh Tribune - Review","Research",2015
"THE RUTHERFORD WAY GIVES STAFF FREEDOM, BIG FAN OF ANALYTICS","Mackey, Jason","Y","Pittsburgh Post - Gazette","Research",2017
"Rangers encouraged by analytics and eye test","Mercogliano, Vincent Z","Y","The Journal News","Research",2019
"A SLATE FAVORITE DATA SCIENTIST, 22, FROM CMU LANDS ANALYTICS POSITION FOR PENGUINS","DeFabo, Mike","Y","Pittsburgh Post - Gazette","Research",2021
"Five stats-based observations about the Pittsburgh Penguins after a 7-4 win against the New York Rangers in Saturday's Game 3 at PPG Paints Arena (analytics courtesy naturalstattrick.com unless specified otherwise): [Derived Headline]","Adamski, Chris","Y","Tribune - Review / Pittsburgh Tribune - Review","Research",2022
"Hextall stressing analytics in GM role","Isaac, Dave","Y","The News Journal","Research",2014
"Go figure: Advanced stats rate on ice too","Hersh, Philip","Y","Chicago Tribune","Research",2015
"Analytics becoming the talk of the NHL","Fluto Shinzawa","Y","Boston Globe","Research",2016
"Computer software to track players' stats a big hit with coaches","Grable, Walter","Y","Indianapolis Star","Research",1996
"Can't get the power on In the dark: Midway through the season, the Thrashers' power-play numbers tell an ugly story.","Schultz, Jeff","Y","The Atlanta Constitution","Research",2000
"NHL's new ""Moneyball"" world making a star of Sharks' Matt Nieto","Pollak, David","Y","Oakland Tribune","Research",2014
"San Jose Sharks losing the numbers game but still in the playoff mix in West","Pollak, David","Y","San Jose Mercury News","Research",2013
"The Count: Most Efficient Scorer? It's Not Ovechkin","Greenstein, Kevin","Y","Wall Street Journal","Research",2009
"L.A. Kings' numbers simply don't add up to victories","Teaford, Elliott","Y","Whittier Daily News","Research",2015
"panthers Panthers on rise; skeptics die hard Detractors say that team metrics don't measure up","Davis, Craig","Y","South Florida Sun - Sentinel","Research",2016
"Minnesota Wild: Penalty kill, other stats tell story in loss to Red Wings","Graff, Chad","Y","Saint Paul Pioneer Press","Research",2014
"STAR POWER? DALLAS HAS IT, DESPITE STATS","Sipple, George","Y","Detroit Free Press","Research",2006
"A new ice age: NHL plays numbers game Hockey taking broader approach in analyzing statistics to determine a player's net worth in team game","Adrian Dater","Y","Denver Post","Research",2006
"How players try to game NHL's advanced stats","Allen, Kevin","Y","USA Today (Online)","Research",2016
"Neuvirth ignoring stats, is focused on big opportunity","Isaac, Dave","Y","Daily Journal","Research",2017
"Cranbrook star bigger than statistics -- DeWindt finishes with 23 points, but defense is his forte","Manolatos, Tony","Y","Detroit News","Research",1998
"NHL Goodenow believes NHL data 'useless' FORECASTS DIFFER The head of the players' association accuses the league of manipulating statistics.","Terry Frei","Y","Denver Post","Research",2004
"Statistics do a number on Sabres","Harrington, Mike","Y","Buffalo News","Research",2014
"REAL-TIME STATISTICS COMING BACK IN REAL LIFE","Graham, Tim","Y","Buffalo News","Research",2003
"NHL STATISTICS SHED NEW LIGHT ON THE ART OF THE DRAW","Northrop, Milt","Y","Buffalo News","Research",1999
"Statistics don't always tell the story","Dabe, Christopher","Y","Beaumont Enterprise","Research",2006
"Thornton's modest, but his statistics speak volumes","Loftus, Mike","Y","The Patriot Ledger","Research",2001
"The score on statistics Break 'em down, add 'em up: The numbers crunch is on for sports fans","Gonzalez, Simon","Y","Fort Worth Star - Telegram","Research",1998
"Miller does whatever it takes to win ; Statistics not main reason Duke-bound midfielder selected player of the year","Dunivan, Adam","Y","Rocky Mountain News","Research",2005
"Avalanche Some statistics returning to sport","Adrian Dater","Y","Denver Post","Research",2003
"FEDOROV AND FRIENDS HAVE ARRIVED Numbers, both dollars and statistics, have thrust the talented forward into the spotlight.","Floyd, Jennifer","Y","Fort Worth Star - Telegram","Research",1998
"Cup runneth over with team statistics","Cohen, Jodi S","Y","Detroit News","Research",1997
"Gretzky assesses future Another season with dismal statistics might drive him to retire","Rick Sadowksi","Y","Orange County Register","Research",1992
"Red Wings tops in year's statistics ; But numbers alone don't add up to Stanley Cup","IRA PODELL","Y","Times Union","Research",2006
"Computer data changing face of sports","R. F. Sharp","Y","Florida Times Union","Research",1998
"Blues Find the Statistics to Be Chilling","Luecking, Dave","Y","St. Louis Post - Dispatch","Research",1990
"Statistics don't measure Miller's worth","DiCesare, Bob","Y","Buffalo News","Research",2008
"Defining Wings means going beyond statistics","Falls, Joe","Y","Detroit News","Research",1996
"Big statistics, but no Olympics for Robitaille","Kulfan, Ted","Y","Detroit News","Research",2001
"Statistical review indicates wide variance in penalties","Allen, Kevin","Y","USA TODAY","Research",1994
"Center's fate is in the numbers","Goffredo, Theresa","Y","The Herald","Research",2001
"Plus-minus stats misleading","Hohlfeld, Neil","Y","Houston Chronicle (pre-1997 Fulltext)","Research",1995
"Hockey Card Statistics: By the Numbers","Chernoff, EJ","Y","CANADIAN JOURNAL OF SCIENCE MATHEMATICS AND TECHNOLOGY EDUCATION","Research",2023
"Hockey Card Statistics Are Stagnant and Stale","Chernoff, EJ","Y","JOURNAL OF HUMANISTIC MATHEMATICS","Research",2024
"Historical Perspectives and Current Directions in Hockey Analytics","Nandakumar, N; Jensen, ST","Y","ANNUAL REVIEW OF STATISTICS AND ITS APPLICATION, VOL 6","Research",2019
"HockeyRink: A Dataset for Precise Ice Hockey Rink Keypoint Mapping and Analytics","Sarkhoosh, MH; Gautam, S; Midoglu, C; Sabet, SS; Kupka, T; Halvorsen, P","Y","PROCEEDINGS OF THE 16TH ACM MULTIMEDIA SYSTEMS CONFERENCE, MMSYS 2025","Research",2025
"Identifying Player Roles in Ice Hockey","Säfvenberg, R; Carlsson, N; Lambrix, P","Y","MACHINE LEARNING AND DATA MINING FOR SPORTS ANALYTICS, MLSA 2023","Research",2024
"Dynamic prediction of the National Hockey League draft with rank-ordered logit models","Kumagai, B; Moreau, R; Kroetch, K; Swartz, TB","Y","INTERNATIONAL JOURNAL OF FORECASTING","Research",2024
"SnapShot: Visualization to Propel Ice Hockey Analytics","Pileggi, H; Stolper, CD; Boyle, JM; Stasko, JT","Y","IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS","Research",2012
"Western Hockey League (WHL) Regularized Adjusted Plus-Minus","Janeczko, B; Pickering, D; Srivastava, G","Y","2022 IEEE INTL CONF ON DEPENDABLE, AUTONOMIC AND SECURE COMPUTING, INTL CONF ON PERVASIVE INTELLIGENCE AND COMPUTING, INTL CONF ON CLOUD AND BIG DATA COMPUTING, INTL CONF ON CYBER SCIENCE AND TECHNOLOGY CONGRESS (DASC/PICOM/CBDCOM/CYBERSCITECH)","Research",2022
"A Markov Game model for valuing actions, locations, and team performance in ice hockey","Schulte, O; Khademi, M; Gholami, S; Zhao, ZY; Javan, M; Desaulniers, P","Y","DATA MINING AND KNOWLEDGE DISCOVERY","Research",2017
"Valuing Actions and Ranking Hockey Players With Machine Learning (Extended Abstract)","Schulte, O","Y","SPORTS ANALYTICS, ISACE 2026","Research",2026
"Goal-based performance metrics for ice hockey accounting for goal importance","Lambrix, P; Carlsson, N; Säfvenberg, R","Y","JOURNAL OF SPORTS ANALYTICS","Research",2025
"Expert System for Ice Hockey Game Prediction: Data Mining with Human Judgment","Gu, W; Saaty, TL; Whitaker, R","Y","INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","Research",2016
"Relative Age Effect in Canadian Hockey: Prevalence, Perceived Competence and Performance","Lemoyne, J; Pelletier, VH; Trudeau, F; Grondin, S","Y","FRONTIERS IN SPORTS AND ACTIVE LIVING","Research",2021
"Data, Development Discourse, and Decolonization: Developing an Indigenous Evaluation Model for Indigenous Youth Hockey in Canada","Forsyth, J; McKee, T; Benson, A","Y","CANADIAN ETHNIC STUDIES-ETUDES ETHNIQUES AU CANADA","Research",2021
"Position-based anthropometric characteristics and general physiological performance of national level, U18 ice hockey players","Czont, A; Freyer, T; Bodor, Z; Mara, G; Sándor, J; Miklóssy, I","Y","SPORTIS-SCIENTIFIC TECHNICAL JOURNAL OF SCHOOL SPORT PHYSICAL EDUCATION AND PSYCHOMOTRICITY","Research",2023
"Ultra-Wideband Indoor Positioning and IMU-Based Activity Recognition for Ice Hockey Analytics","Vleugels, R; Van Herbruggen, B; Fontaine, J; De Poorter, E","Y","SENSORS","Research",2021
"HyperStackNet: A hyper stacked hourglass deep convolutional neural network architecture for joint player and stick pose estimation in hockey","Neher, H; Vats, K; Wong, A; Clausi, DA","Y","2018 15TH CONFERENCE ON COMPUTER AND ROBOT VISION (CRV)","Research",2018
"Fluid balance of female para hockey players during simulated competition","Gavel, EH; Rae, S; Logan-Sprenger, HM","Y","FRONTIERS IN SPORTS AND ACTIVE LIVING","Research",2024
"Pass Evaluation in Women's Olympic Ice Hockey","Ritchie, R; Harell, A; Shreeves, P","Y","PROCEEDINGS OF THE 5TH ACM INTERNATIONAL WORKSHOP ON MULTIMEDIA CONTENT ANALYSIS IN SPORTS, MMSPORTS 2022","Research",2022
"Functional Performance Tests, On-Ice Testing and Game Performance in Elite Junior Ice Hockey Players","Daigle, AP; Bélanger, S; Brunelle, JF; Lemoyne, J","Y","JOURNAL OF HUMAN KINETICS","Research",2022
"Detecting Spatial Trends in Hockey Using Frequent Item Sets","Morgan, S","Y","PROCEEDINGS OF THE 8TH INTERNATIONAL SYMPOSIUM ON COMPUTER SCIENCE IN SPORT (IACSS2011)","Research",2011
"Combining Textual Pre-game Reports and Statistical Data for Predicting Success in the National Hockey League","Weissbock, J; Inkpen, D","Y","ADVANCES IN ARTIFICIAL INTELLIGENCE, CANADIAN AI 2014","Research",2014
"HockeyOrient: A Dataset for Ice Hockey Player Orientation Classification","Sarkhoosh, MH; Gautam, S; Midoglu, C; Sabet, SS; Kupka, T; Halvorsen, P","Y","PROCEEDINGS OF THE 16TH ACM MULTIMEDIA SYSTEMS CONFERENCE, MMSYS 2025","Research",2025
"PASSING DIFFERENCES BETWEEN WINING AND LOSING TEAM IN NATIONAL HOCKEY LEAGUE (NHL)","Franjkovic, A; Matkovic, B; Vlahovic, T","Y","10TH INTERNATIONAL SCIENTIFIC CONFERENCE ON KINESIOLOGY","Research",2024
"Boundary-aware semantic segmentation for ice hockey rink registration","Wang, ZB; Nazemi, A; Liu, SP; Rambhatla, S; Chen, YH; Clausi, D","Y","COMPUTER VISION AND IMAGE UNDERSTANDING","Research",2026
"The Relative Age Effect in Ice Hockey: Analysis of Its Presence, Its Fading and of a Reversal Effect among Junior and Professional Leagues","Lemoyne, J; Trudeau, F; Grondin, S","Y","JOURNAL OF HUMAN KINETICS","Research",2023
"Ice hockey skate starts: a comparison of high and low calibre skaters","Renaud, PJ; Robbins, SMK; Dixon, PC; Shell, JR; Turcotte, RA; Pearsall, DJ","Y","SPORTS ENGINEERING","Research",2017
"An Analysis of Head Impact Profiles and Safe Hockey Behaviors in Youth Hockey Players","McPherson, MN; Montelpare, WJ; Keightley, M; Reed, N; Sutherland, M; Taha, T; McAuliffe, J; Baker, JR; Cubos, J; Faught, B","Y","SAFETY IN ICE HOCKEY: 5TH VOLUME","Research",2009
"The Rise of Big-City Hockey Players and Its Implication for Diversity in the National Hockey League","Kaida, L; Kitchen, P; Stick, M","Y","CANADIAN ETHNIC STUDIES-ETUDES ETHNIQUES AU CANADA","Research",2021
"A Study on the Winning and Losing Factors of Para Ice Hockey Using Data Mining-Based Decision Tree Analysis","Kim, MC","Y","APPLIED SCIENCES-BASEL","Research",2023
"Ice hockey puck tracking through broadcast video","Li, MY; Hu, HA; Yan, H","Y","NEUROCOMPUTING","Research",2023
"Measuring and Analyzing the Technical Efficiency of Hockey Players","Chytilová, L; Hanclová, J","Y","PROCEEDINGS OF THE 41ST INTERNATIONAL CONFERENCE ON MATHEMATICAL METHODS IN ECONOMICS, MME 2023","Research",2023
"Hidden Markov modeling of hockey shot angles with a uniform transient state","Sadeghkhani, A","Y","JAPANESE JOURNAL OF STATISTICS AND DATA SCIENCE","Research",2026
"PUTTING MUSCLE INTO SPORTS ANALYTICS: STRENGTH, CONDITIONING, AND ICE HOCKEY PERFORMANCE","Kniffin, KM; Howley, T; Bardreau, C","Y","JOURNAL OF STRENGTH AND CONDITIONING RESEARCH","Research",2017
"Talent Identification in Elite Adolescent Ice Hockey Players: The Discriminant Capacity of Fitness Tests, Skating Performance and Psychological Characteristics","Lemoyne, J; Brunelle, JF; Pelletier, VH; Glaude-Roy, J; Martini, G","Y","SPORTS","Research",2022
"Machine learning-based classification of ice hockey skating tasks using kinematic data","Jlassi, O; Wilkie, EWC; Kelly, M; Renaud, PJ; Pearsall, DJ; Robbins, SM; Dixon, PC","Y","SPORTS BIOMECHANICS","Research",2025
"How to tell if a hockey player performs well (enough)","Houdek, J; Sokol, O","Y","MATHEMATICAL METHODS IN ECONOMICS (MME 2018)","Research",2018
"Physiological and physical profiles and on-ice performance approach to predict talent in male youth ice hockey players during draft to hockey team","Roczniok, R; Maszczyk, A; Stanula, A; Czuba, M; Pietraszewski, P; Kantyka, J; Starzynski, M","Y","ISOKINETICS AND EXERCISE SCIENCE","Research",2013
"COMPETING PROCESS HAZARD FUNCTION MODELS FOR PLAYER RATINGS IN ICE HOCKEY","Thomas, AC; Ventura, SL; Jensen, ST; Ma, S","Y","ANNALS OF APPLIED STATISTICS","Research",2013
"Predicting the Scoring Time in Hockey","Sadeghkhani, A; Ahmed, SE","Y","JOURNAL OF STATISTICAL THEORY AND PRACTICE","Research",2021
"Introduction to the Special Issue on Analytics in Sports, Part I: General Sports Applications","Fry, MJ; Ohlmann, JW","Y","INTERFACES","Research",2012
"Logistic Regression of Wins and Losses in Asia League Ice Hockey in the 2014-2015 Season","Koo, DH; Panday, SB; Xu, DY; Lee, CY; Kim, HY","Y","INTERNATIONAL JOURNAL OF PERFORMANCE ANALYSIS IN SPORT","Research",2016
"Reversal of fortune: a statistical analysis of penalty calls in the National Hockey League","Abrevaya, J; McCulloch, R","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2014
"About the Predictive Value of a 3D Multiple Object Tracking Device for Talent Identification in Elite Ice Hockey Players","Tétreault, E; Fortin-Guichard, D; McArthur, J; Vigneault, A; Grondin, S","Y","RESEARCH QUARTERLY FOR EXERCISE AND SPORT","Research",2024
"Player Pairs Valuation in Ice Hockey","Ljung, D; Carlsson, N; Lambrix, P","Y","MACHINE LEARNING AND DATA MINING FOR SPORTS ANALYTICS, MLSA 2018","Research",2019
"No crowd, no roar, no home advantage: evidence from ice hockey","Thrane, C","Y","EUROPEAN SPORT MANAGEMENT QUARTERLY","Research",2024
"Individual and team efficiency: a case of the National Hockey League","Jablonsky, J","Y","CENTRAL EUROPEAN JOURNAL OF OPERATIONS RESEARCH","Research",2022
"Strategies for Pulling the Goalie in Hockey","Beaudoin, D; Swartz, TB","Y","AMERICAN STATISTICIAN","Research",2010
"Analyzing and forecasting success in the Men's Ice Hockey World (Junior) Championships using a dynamic ranking model","Holy, V","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2025
"Simulating Tracking Data to Advance Sports Analytics Research","Radke, D; Tilbury, K","Y","PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS AND MULTIAGENT SYSTEMS, AAMAS 2025","Research",2025
"Demographic, physiological, psychological, and on-ice performance indicators predict plus/minus status of recreational ice hockey players across a season","Nigg, CR; Gessner, A; Nigg, C; Giurgiu, M; Neumann, R","Y","GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH","Research",2020
"Quantifying ice hockey goaltender leg pad kinematics and the effect that different leg pad styles have on performance","Frayne, RJ; Dickey, JP","Y","SPORTS ENGINEERING","Research",2017
"Fixing ice hockey's low scoring flip side? Just flip the sides","Friesl, M; Libich, J; Stehlík, P","Y","ANNALS OF OPERATIONS RESEARCH","Research",2020
"Evaluating the performance of an ice hockey team using interactive phases of play","Bedford, A; Baglin, J","Y","IMA JOURNAL OF MANAGEMENT MATHEMATICS","Research",2009
"Performance indices for on-ice hockey statistics","WILLIAMS, B","Y","AMERICAN STATISTICAL ASSOCIATION 1994 PROCEEDINGS OF THE SECTION ON THE STATISTICS IN SPORTS","Research",1994
"Extraction of Goal-Scoring Segments and Player Positions in a Panoramic Ice Hockey Video","Eba, K; Nakano, A; Sawano, H","Y","INTERNATIONAL WORKSHOP ON ADVANCED IMAGING TECHNOLOGY, IWAIT 2026","Research",2026
"Application and Development of the Expected Goals for Hockey Player Evaluation","Shmakov, N","Y","SPORTS ANALYTICS, ISACE 2024","Research",2024
"Estimating player contribution in hockey with regularized logistic regression","Gramacy, RB; Jensen, ST; Taddy, M","Y","JOURNAL OF QUANTITATIVE ANALYSIS IN SPORTS","Research",2013
"Reference Data by Player Position for an Ice Hockey-Specific Complex Test","Schulze, S; Laudner, KG; Delank, KS; Brill, R; Schwesig, R","Y","APPLIED SCIENCES-BASEL","Research",2021
"How professional sports clubs exploit a heterogeneous local potential: the case of Swiss professional ice hockey","Bayle, E; Lang, M; Moret, O","Y","SPORT IN SOCIETY","Research",2020
"Relationship between Ice Hockey-Specific Complex Test (IHCT) and Match Performance","Schwesig, R; Laudner, KG; Delank, KS; Brill, R; Schulze, S","Y","APPLIED SCIENCES-BASEL","Research",2021
"RINK HOCKEY TEAM PERFORMANCE AND TECHNICAL DETERMINANTS OF THE GAME: A FULL-SEASON ANALYSIS","Camoes, M; Silva, R; Oliveira, D; Sousa, T; Bezerra, P; Lima, R; Clemente, FM","Y","HUMAN MOVEMENT","Research",2022
"Analysis of the Individual Set-Pieces Influence on the Teams' Ranking in Rink Hockey","Arboix-Alió, J; Trabal, G; Aguilera-Castells, J; Buscà, B","Y","JOURNAL OF HUMAN KINETICS","Research",2021
"Player tracking and identification in ice hockey","Vats, K; Walters, P; Fani, M; Clausi, DA; Zelek, JS","Y","EXPERT SYSTEMS WITH APPLICATIONS","Research",2023
"A game-predicting expert system using big data and machine learning","Gu, W; Foster, K; Shang, J; Wei, LR","Y","EXPERT SYSTEMS WITH APPLICATIONS","Research",2019
"Reconstruction of past backyard skating seasons in the Original Six NHL cities from citizen science data","Malik, K; McLeman, R; Robertson, C; Lawrence, H","Y","CANADIAN GEOGRAPHIES-GEOGRAPHIES CANADIENNES","Research",2020
"Relationship of Fitness Combine Results and National Hockey League Performance: A 25-Year Analysis","Cohen, JN; Thompson, KMA; Jamnik, VK; Gledhill, N; Burr, JF","Y","INTERNATIONAL JOURNAL OF SPORTS PHYSIOLOGY AND PERFORMANCE","Research",2022
"The Introduction and Application of Sports Analytics in Professional Sport Organizations A Case Study of the Tampa Bay Lightning","Mondello, M; Kamke, C","Y","JOURNAL OF APPLIED SPORT MANAGEMENT","Research",2014
"A Markov Game Model for Valuing Player Actions in Ice Hockey","Routley, K; Schulte, O","Y","UNCERTAINTY IN ARTIFICIAL INTELLIGENCE","Research",2015
"Position-Specific Reference Data for an Ice Hockey-Specific Complex Test-An Update and Practical Recommendations","Schulze, S; Laudner, KG; Delank, KS; Bartels, T; Marshall, RP; Schwesig, R","Y","APPLIED SCIENCES-BASEL","Research",2024
"Examining the home advantage in the National Hockey League: Comparisons among regulation, overtime, and the shootout","Hoffmann, MD; Loughead, TM; Dixon, JC; Crozier, AJ","Y","PSYCHOLOGY OF SPORT AND EXERCISE","Research",2017
"The Influence of Individual Set-Pieces in Elite Rink Hockey Match Outcomes","Arboix-Alio, J; Trabal, G; Hileno, R; Aguilera-Castells, J; Fort-Vanmeerhaeghe, A; Busca, B","Y","INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH","Research",2021
