"Title","Author","indivauthor","Publication","Type","Year"
"Chayka will ply his analytics in Phoenix","Milton, Steve","Y","The Spectator","News",2015
"Not adding up; Analytics can't come up with a favourite to hoist the Cup","Matisz, John","Y","The Winnipeg Sun","News",2017
"Kings put up numbers the analytics gurus love","Arthur, Bruce","Y","Toronto Star","News",2014
"Moneypuck For Dummies(and for the pros); Can stats wizards do for hockey what Moneyball did for baseball's bottom line?","Staples, David","Y","Edmonton Journal","News",2012
"Skaters take analytics with grain of salt; 'I just go out there ... play my game'","Fitz-Gerald, Sean","Y","The Gazette","News",2014
"Stats more for us than teams","Tomlinson, Dave","Y","The Province","News",2008
"New FP hockey columnist finds intriguing insights in NHL data","Berkshire, Andrew","Y","Winnipeg Free Press (Online)","News",2018
"Leafs aware analytics data charts every move on ice","Fitz-Gerald, Sean","Y","The Windsor Star","News",2014
"NHL teams warm up to idea of analytics in assessing talent, players, performance","Associated Press","N","New Glasgow News","News",2014
"Little romance in the numbers; Critics say analytics taking fun out of sprots","Stinson, Scott","Y","National Post","News",2015
"Jacklin, Shiftd look to introduce new approach to hockey analysis","Rocca, Taylor","Y","Daily Townsman","News",2016
"Leafs wrap heads around analytics; 'it's a tool'","Fitz-Gerald, Sean","Y","National Post","News",2014
"For some, the numbers still don't add up; Scheifele the latest to dismiss analytics","Stinson, Scott","Y","National Post","News",2021
"Goalies catching up in analytics world","MATISZ, JOHN","Y","The Ottawa Sun","News",2015
"The hotbed of fancy stats ; Alberta has blazed the analytics trail for the past decade","MATISZ, JOHN","Y","The Toronto Sun","News",2014
"A pain in the butt; What will it take to get NHLers to embrace analytics?","Stinson, Scott","Y","The Toronto Sun","News",2021
"NHL going through analytics awakening","Whyno, Stephen","Y","Journal - Pioneer","News",2014
"Moneypuck! NHL teams warm up to idea of analytics in assessing talent, players, performance","Gelston, Dan","Y","Winnipeg Free Press (Online)","News",2014
"67's lead way in analytics","MATISZ, JOHN","Y","The Toronto Sun","News",2014
"Analytics show mixed results on improvement","Staples, David","Y","Edmonton Journal","News",2013
"Great analytics war wages on in NHL","Stinson, Scott","Y","The Windsor Star","News",2014
"Numbers Game; Pro sports teams turn to data analytics to fill venues, evaluate talent","Hartley, Matt","Y","National Post","News",2013
"The math again the winner in playoffs; So far, analytics numbers correct after two rounds","Stinson, Scott","Y","Calgary Herald","News",2015
"Not everyone in NHL is embracing analytics","Hickey, Pat","Y","The Province","News",2014
"Analytics becoming a polarizing force; Even fans of advanced stats worry they take some fun out of sports","Stinson, Scott","Y","Edmonton Journal","News",2015
"A primer to NHL's new analytics game","Wilson, Kent","Y","Calgary Herald","News",2014
"Not all NHLers sold on analytics; Some question whether advanced stats translate to more wins","Hickey, Pat","Y","The Vancouver Sun","News",2014
"NHL guru more than just a number; Analytics","MacKinnon, John","Y","The Province","News",2014
"Can analytics measure the size of an athlete's heart?","Short, Robin","Y","Telegram","News",2016
"Analytics show Caps should start Grubauer","Greenberg, Neil","Y","Star - Phoenix","News",2018
"Canadiens' analytics team opens door to new training","Cowan, Stu","Y","Montreal Gazette","News",2022
"We look to analytics to tell us what's real and what's not inthe NHL playoffs so far ... Rangers power outage a real concern ...Ducks can't win close ones forever","MATISZ, JOHN","Y","The Toronto Sun","News",2015
"When intangibles top analytics; Some NHL mock drafts have big winger Lawson Crouse in Top 5, others outside Top 10","Traikos, Michael","Y","The Province","News",2015
"MLSE boss questions value of analytics ; MAPLE LEAFS: LEIWEKE SAYS GREAT CHARACTER' NEEDED TO MAKE IT IN NHL","Hornby, Lance","Y","The Beacon Herald","News",2014
