Title,Subtitle,Author,indivauthor,Publication,SourceType,Publisher,Volume,Issue,PubDate,AlphaDate,StartPage,EndPage,PageRange,ISSN,EISSN,ISBN,Language,DocumentUrl,DOI
Maple Leafs' collapse astonishing; Awful puck-possession statistics have caught up to Toronto,,"Arthur, Bruce",Y,Edmonton Journal,News,,,,2014-03-31,2014-03-31,D.6,,,0839296X,,,ENG,https://www.proquest.com/docview/1511741960?accountid=14771&bdid=165203&_bd=xXP2XE7VO9nbIffDjwiTPxoKBbc%3D,
Data debate at the heart of Pittsburgh's retooling under caretaker GM Rutherford,,"Mirtle, James",Y,The Globe and Mail,News,,,,2014-06-07,2014-06-07,S.8,,S.8,03190714,,,ENG,https://www.proquest.com/docview/1533646240?accountid=14771&bdid=165203&_bd=Fh3IHrCj5UzeGU0xwV5FKiMyYXA%3D,
Numbers no measure of the man; Coyotes stalwart Shane Doan proves there's more to the game than statistics,,"Gallagher, Tony",Y,The Province,News,,,,2014-11-16,2014-11-16,A.59,,,,,,ENG,https://www.proquest.com/docview/1625287022?accountid=14771&bdid=165203&_bd=9MzloTjBsa5Il6jLdBPv11xeitA%3D,
Lines being drawn in analytics battle,,"Stinson, Scott",Y,Calgary Herald,News,,,,2014-10-06,2014-10-06,C.6,,,08281815,,,ENG,https://www.proquest.com/docview/1609048721?accountid=14771&bdid=165203&_bd=eoUHFkjvCZ2OPbuFfEHzo9U92BM%3D,
Analyst seeks Devils bargain with numbers; Extra edge would be helpful for rebuilding team,,"Pickens, Pat",Y,National Post,News,,,,2015-09-19,2015-09-19,FP.14,,,14868008,,,ENG,https://www.proquest.com/docview/1713845025?accountid=14771&bdid=165203&_bd=pvPBYi%2F52ytEA9%2FwPsmqZofiK8w%3D,
Sea Dogs add analytics to equation,,"Briggs, Scott",Y,Telegraph-Journal,News,,,,2014-09-24,2014-09-24,D.6,,,19108001,,,ENG,https://www.proquest.com/docview/1564540808?accountid=14771&bdid=165203&_bd=G42AjFZQ61R3FCdr6EkIY6TxyJI%3D,
Defining the new language of hockey; Montreal-based Sportlogiq aims to change the NHL with smart stats,,"Lindeman, Tracey",Y,Montreal Gazette,News,,,,2015-04-07,2015-04-07,B.1,,,2370-1676,,,ENG,https://www.proquest.com/docview/1670909524?accountid=14771&bdid=165203&_bd=Rw6ugZkARO200V%2F0EQl%2FlCZT1JU%3D,
"The math triumphs once again; So far, analytics numbers correct for Stanley Cup playoffs",,"Stinson, Scott",Y,Edmonton Journal,News,,,,2015-05-16,2015-05-16,E.1,,,0839296X,,,ENG,https://www.proquest.com/docview/1681226211?accountid=14771&bdid=165203&_bd=gj12zK2XkbvvveL9TzktsxRY6LI%3D,
Leafs add a few extraskaters; New hires show team serious about analytics,,"Traikos, Michael",Y,National Post,News,,,,2014-08-20,2014-08-20,B.1,,,14868008,,,ENG,https://www.proquest.com/docview/1555207276?accountid=14771&bdid=165203&_bd=ErmRWaivbQIn7Z9G3%2Bku8%2FlcjW0%3D,
Pro teams bet on analytics; Plenty of startups are lining up to cash in,,"Anwar, Ali",Y,National Post,News,,,,2015-09-28,2015-09-28,FP.5,,,14868008,,,ENG,https://www.proquest.com/docview/1717165531?accountid=14771&bdid=165203&_bd=jmg4uL6Noj8JUp0RGALevZ8Ubac%3D,
"To the barricades, analytics experts; Some players simply scoff at fancy stats",,"Stinson, Scott",Y,Edmonton Journal,News,,,,2014-10-07,2014-10-07,D.1,,,0839296X,,,ENG,https://www.proquest.com/docview/1609247546?accountid=14771&bdid=165203&_bd=WqAj3IIA0WAgftaMZUDMvD5uWAQ%3D,
The rising complexity of analytics in sports,,"Mirtle, James",Y,The Globe and Mail,News,,,,2015-03-02,2015-03-02,S.1,,,03190714,,,ENG,https://www.proquest.com/docview/1659051042?accountid=14771&bdid=165203&_bd=oIgfBa0Z%2FEq8Cd12WVZ2dEjtz2E%3D,
"Company nets analytics contract with Capitals; Year-old HockeyData already employs 20, will track events of prospects in the AHL",,"Shore, Randy",Y,The Vancouver Sun,News,,,,2017-05-11,2017-05-11,A.3,,,08321299,,,ENG,https://www.proquest.com/docview/1898244513?accountid=14771&bdid=165203&_bd=H41UdaEm2DR%2FtRndgGwivP2c08s%3D,
Meeting of the analytics' minds in Rochester ... NHL staffersmust be flexible when presenting findings to coaches ... New formulato track value of goalies,,"MATISZ, JOHN",Y,The Toronto Sun,News,,,,2015-10-11,2015-10-11,S.21,,,08373175,,,ENG,https://www.proquest.com/docview/2233838468?accountid=14771&bdid=165203&_bd=u1nkSZw7DLhd4tjZH%2BgrnF0RJz4%3D,
"Math Triumphs Again; So far, analytics correct for who will win, not who should win in the playoffs",,"Stinson, Scott",Y,The Ottawa Citizen,News,,,,2015-05-16,2015-05-16,B.2,,,08393222,,,ENG,https://www.proquest.com/docview/1681139603?accountid=14771&bdid=165203&_bd=upIMozGHn%2Bi5NF7YT3K%2FZfUsSck%3D,
Math on ice: NHL's Analytics War moves into the mainstream,,"Kelly, Cathal",Y,The Globe and Mail,News,,,,2014-10-08,2014-10-08,A.1,,,03190714,,,ENG,https://www.proquest.com/docview/1622224510?accountid=14771&bdid=165203&_bd=pIZQMPalclQsW6M3U%2FohvB1aOPc%3D,
"Simplest statistic to rate performance; Tally of shooting and save percentages gives a good idea of the effectiveness of players, teams",,"Charron, Cam",Y,The Province,News,,,,2012-01-22,2012-01-22,B.21,,,,,,ENG,https://www.proquest.com/docview/917549273?accountid=14771&bdid=165203&_bd=5S2ucOY05V2xRv1QiCU7m82HyXM%3D,
The art of analytics,,"Tait, Ed",Y,Winnipeg Free Press,News,,,,2014-04-19,2014-04-19,D.3,,,08281785,,,ENG,https://www.proquest.com/docview/1517525812?accountid=14771&bdid=165203&_bd=BR2BD%2BoZ4vR6fZsdSxylDsfZ%2Bpc%3D,
"Luck, odds do not go together; NHL analytics be damned now playoffs are here",,"Stinson, Scott",Y,National Post,News,,,,2015-04-11,2015-04-11,FP.13,,,14868008,,,ENG,https://www.proquest.com/docview/1672343252?accountid=14771&bdid=165203&_bd=DUShXRWMFhsQh9XPqaj1THPKfGY%3D,
"As the Leafs try analytics, the question stands: Will Moneypuck work?",,"Mirtle, James",Y,The Globe and Mail,News,,,,2014-10-08,2014-10-08,S.5,,,03190714,,,ENG,https://www.proquest.com/docview/1622223349?accountid=14771&bdid=165203&_bd=2AFe7g4KEO%2Fuj%2F1neNHlilyhfpY%3D,
Statistics affirm McDavid elevates level of play for his teammates,,"Staples, David",Y,Edmonton Journal,News,,,,2016-02-16,2016-02-16,B.2,,,0839296X,,,ENG,https://www.proquest.com/docview/1765509909?accountid=14771&bdid=165203&_bd=rguNOIbvXhkmr%2BcLy6TxB8CEJyQ%3D,
